instrument_key,exchange_token,Symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE0LLY01014,27213,EIEL,ENVIRO INFRA ENGINEERS L,277.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,12627,,,1,1,EQUITY,,NSE_EQ
NSE_EQ|INE319B01014,7930,BYKE,THE BYKE HOSPITALITY LTD,79.67,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,198.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE763I01026,15174,TARIL,TRANS & RECTI. LTD,504.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE314T01025,14480,GOKULAGRO,GOKUL AGRO RESOURCES LTD,317.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE395U01014,14194,NINSYS,NINTEC SYSTEMS LIMITED,451.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE970X01018,2606,LEMONTREE,LEMON TREE HOTELS LTD,156.82,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF109K1A344,757781,TOP15IETF,ICICIPRAMC - TOP15IETF,10.34,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE977Y01011,7780,BCONCEPTS,BRAND CONCEPTS LIMITED,332.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INF174KA1WT6,757946,QUALITY30,KOTAKMAMC - QUALITY30,20.8,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE522D01027,19061,MANAPPURAM,MANAPPURAM FINANCE LTD,273.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE839G01010,16927,JOCIL,JOCIL LIMITED,165.7,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE250B01029,16824,VINYLINDIA,VINYL CHEMICALS (I) LTD.,308.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE017W01010,6843,SMLT,SARTHAK METALS LIMITED,119.32,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE485C01029,20413,IOLCP,IOL CHEM AND PHARMA LTD,98.65,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE660C01027,2458,CENTRUM,CENTRUM CAPITAL LIMITED,38.21,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE991I01015,17270,ASPINWALL,ASPINWALL & CO LTD,301.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE932X01026,104,SHAREINDIA,SHARE IND. SECURITIES LTD,178.35,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE032A01023,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,188.19,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE353H01010,13370,SGL,STL GLOBAL LIMITED,14.74,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE177A01018,1597,INGERRAND,INGERSOLL-RAND INDIA LTD,4071.3,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE772T01024,23142,PVSL,POPULAR VEHICLES N SER L,131.62,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE175A01038,10397,JISLJALEQS,JAIN IRRIGATION SYSTEMS,53.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF174KA1VW2,30469,MID150,KOTAKMAMC - MID150,22.14,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF174KA1VD2,29758,MSCIINDIA,KOTAKMAMC - MSCIINDIA,29.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE629D01020,14511,BANSWRAS,BANSWARA SYNTEX LIMITED,141.25,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE642Y01029,4920,HINDCON,HINDCON CHEMICALS LIMITED,35.04,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF174KA1UW4,29944,NIFTY100EW,KOTAKMAMC - NIFTY100EW,32.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF109K1A153,755881,EVIETF,ICICIPRAMC - EVIETF,29.69,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE737H01014,13710,FIEMIND,FIEM INDUSTRIES LIMITED,2010.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE916U01025,19184,SFL,SHEELA FOAM LIMITED,666.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PT501018,22930,PLATIND,PLATINUM INDUSTRIES LTD,309.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE766P01016,385,MAHLOG,MAHINDRA LOGISTIC LIMITED,358.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE540G01014,15234,AMBIKCO,AMBIKA COTTON MILL LTD.,1599.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE672B01032,13511,MUNJALAU,MUNJAL AUTO IND. LTD.,77.45,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE201P01022,5054,GRINFRA,G R INFRAPROJECTS LIMITED,1262.3,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE1NPP01017,756871,ENRIN,SIEMENS ENERGY INDIA LTD,3010.6,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE0GK401011,5162,TATVA,TATVA CHIN PHARM CHEM LTD,997.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE427F01016,8546,CHALET,CHALET HOTELS LIMITED,933.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE227G01018,14952,INDOWIND,INDOWIND ENERGY LTD,18.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE00R701025,8075,DALBHARAT,DALMIA BHARAT LIMITED,2269.7,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE03CC01015,29590,JUBLCPL,JUBILANT AGRI N CON PRO L,2065.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE060B01014,9641,KHANDSE,KHANDWALA SECURITIES LTD,26.88,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0KGZ01021,22656,SIGNPOST,SIGNPOST INDIA LIMITED,238.15,,,0.01,1,EQUITY,,NSE_EQ
